site,ntrees,Phytoregion,Island,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,mean_elv,mean_bdod,mean_cfvo,mean_pH,mean_sand,mean_soc,Area,Dist,GMMC,mean_HMI,mean_FR,mean_EX,LEVEL3_NAM
-2_120,2233,Asia,Island,20.18879493077596,8.818825854195488,88.63090133666992,28.690842416551376,25.331048435635036,15.378208239873251,9.952840195761787,20.149680455525715,20.0972015592787,20.51903443866306,19.888902876112198,2313.6666666666665,298.30555555555554,93.77777777777777,35.71991078058879,793.8333333333333,325.77777777777777,428.3611111111111,521.1944444444445,1289.2777777777778,1.0135486143413517,6.718194444444444,4.930993130041493,33.42388888888889,73.77694445027245,1.18,1515.86,0,0.019488314928158855,0.00329413805748581,0,Sulawesi
-2_134,3458,Asia,Island,25.656014502048492,7.40700189769268,89.23120903968811,32.417541682720184,29.907554507255554,21.606266736984253,8.301287770271301,25.73147988319397,25.240528345108032,25.922198832035065,25.221988916397095,2806.375,330.59375,148.40625,29.88963294029236,954.71875,464.71875,806.65625,507.15625,188.5625,0.9243989815032172,6.713637031066573,4.887050950745507,29.684262412341113,83.34795997763041,1.76,1011.91,1,0.023234420196693268,0.002314008102209164,0,New Guinea
-2_139,1916,Asia,Island,26.575452575683595,8.128954639434815,90.79848754882812,22.92530014038086,31.043889770507814,22.09072166442871,8.9531681060791,26.677924423217775,26.462796249389648,26.750664978027345,26.24638832092285,2684.64,294.68,186.48,15.427316703796386,804.28,586.04,697,604.68,143.12,1.0919599363620798,7.9082191137035425,4.984193700657746,31.52096039434841,86.4752283107281,2.51,1041.14,1,0.031246341806048367,0.0012953364873377479,0,New Guinea
-2_16,438,Africa,Mainland,25.52936776479085,10.011418395572239,84.47291819254558,46.956348207261826,31.523715443081326,19.672305425008137,11.851410018073189,25.214257028367783,25.12214125527276,26.15649069680108,25.082442071702744,1702.4166666666667,248.63888888888889,18.27777777777778,49.78490458594428,622.9444444444445,102.61111111111111,521.6388888888889,281.3055555555555,382.44444444444446,1.2564081461221592,2.146111222153026,5.141534003274095,45.00194043308626,35.47300251657663,NA,0,1,0.05966806413904129,0.006309837941661876,0,Congo
-2_17,1534,Africa,Mainland,25.410213894314236,9.382065375645956,83.70455233256023,47.615826818678116,31.041382047865127,19.831694338056778,11.20968770980835,25.220730463663738,24.873504638671875,26.010881000094944,24.873462941911484,1624.388888888889,211.75,29.38888888888889,41.463136461046005,580.0833333333334,156.75,475.5833333333333,159.80555555555554,339.3333333333333,1.2253472150711686,2.2263357539492623,4.998369690218898,40.66977332134654,33.21134271448129,NA,0,1,0.05276548523064188,0.006806973189065039,0,Zaïre
-2_21,3002,Africa,Mainland,24.63015667597453,9.451180007722643,86.1874042087131,47.95598782433404,30.172298749287922,19.20649989446004,10.96579885482788,24.432075182596844,24.0967083507114,25.244252257876926,24.076155132717556,1994.388888888889,245.16666666666666,77.88888888888889,31.446254359351265,683.8888888888889,297.27777777777777,523.3611111111111,410.02777777777777,414.8333333333333,1.1843333772818248,3.142916666666667,4.581340202788512,47.90743055555556,32.41831248508559,NA,0,1,0.01016606286405648,3.858249178242734e-4,0,Zaïre
-2_29,29433,Africa,Mainland,17.03444504737854,9.87927312321133,86.78302849663629,30.175113572014702,22.764270941416424,11.369305584165785,11.394965357250637,16.984275579452515,16.882340378231472,17.348548624250625,16.720299773746067,1567.638888888889,201.47222222222223,28.583333333333336,42.27618376413981,532.25,139.36111111111114,391.3611111111111,285.41666666666663,1847.4722222222222,0.9769467199469312,6.088124860159811,5.294383626562595,30.26873102952307,66.34010303084968,NA,0,1,0.2784730500038259,0.004954233501644329,8.640777465889863e-5,Zaïre
-31_153,834,Asia,Mainland,18.141318457467214,9.894229752676827,49.54090009416853,372.8206351143973,27.146979831513903,7.196711880820138,19.950267882574174,22.234859012422106,14.01660274323963,22.47470846630278,13.255944388253349,1425.095238095238,198,39.42857142857143,43.697723751976376,549.7619047619048,149.76190476190476,492.57142857142856,199.66666666666666,109.76190476190476,1.1000028812981657,7.539357732814764,5.291719677893691,55.4876608198341,55.306465999350195,NA,0,1,0.14017762822265017,0.0020524824303015895,4.7081539023295736e-4,New South Wales
-35_-71,955,Americas,Mainland,12.157364156511095,12.262540446387398,48.924580891927086,471.50125969780817,26.61684735616048,1.5406111147668624,25.076236406962078,7.0925092630916176,17.926932917700874,18.109659724765354,6.49954855773184,774.6666666666666,193.72222222222223,5.888888888888889,101.01755057440863,483.77777777777777,21.944444444444443,22.333333333333332,460,873,1.1549174393483113,14.853762502279297,6.26169434966563,48.36395212774298,76.57350750894514,NA,0,1,0.20756123954187264,1.526456468428008e-4,6.806125277364222e-4,Chile Central
-35_116,1236,Asia,Mainland,15.350526253382364,9.553098678588867,53.680632909139,305.82787068684894,25.58009926478068,7.781167149543762,17.798932393391926,11.861104329427084,18.98914861679077,19.28402582804362,11.861104329427084,1200.3333333333333,212.66666666666666,22.166666666666668,69.61244901021321,579.1666666666666,73.83333333333333,80,579.1666666666666,88.25,1.0593197545735795,12.649219829711058,6.2667176621648295,80.97808000863468,62.01855224017539,NA,0,1,0.03324141941172138,9.052842597864478e-4,4.77157297303794e-5,Western Australia
-3_-46,315,Americas,Mainland,26.17227379480998,9.427108605702719,82.0265015496148,46.809280713399254,32.05820835961236,20.55636803309123,11.501840326521132,25.800052165985107,26.614678170945908,26.864678223927815,25.78032663133409,2013.2222222222222,383.4166666666667,33.388888888888886,74.9057788848877,1006.8888888888889,117.33333333333333,199.66666666666669,966.9166666666666,71.66666666666667,1.1018056283904516,9.92403311965812,4.887969976494316,37.65446726884227,28.197027572561996,NA,0,1,0.075160556309379,0.009912411761674473,1.5103359861920229e-5,Brazil Northeast
-3_-52,1497,Americas,Mainland,26.01771831512451,9.676167196697659,80.96050368414984,56.121108055114746,32.41899294323392,20.46402793460422,11.954965008629692,25.45189110438029,26.71999782986111,26.79352543089125,25.39295021692912,2078.3888888888887,360.9166666666667,36.916666666666664,70.18619304233127,986.9722222222222,128.44444444444446,151.80555555555554,932.1944444444445,95.27777777777777,1.0974460084455961,8.187407041408122,4.6548354027442596,44.69724844910728,33.270009330250296,NA,0,1,0.12413893344050032,0.04547943860050153,9.232260225553282e-6,Brazil North
-3_-55,537,Americas,Mainland,25.98696910010444,8.409410304493374,77.31149334377713,60.6721683078342,31.694194475809734,20.81647910012139,10.877715375688341,25.479261504279243,26.700431770748562,26.763993157280815,25.458038118150498,1863.111111111111,311.8333333333333,35.861111111111114,64.17570114135742,855.6111111111111,140.94444444444446,177.11111111111111,669.9722222222222,100.41666666666667,1.0980346960142244,6.146967874695736,4.279450480381407,45.0642900115419,31.75271089670669,NA,0,1,0.0733968806037125,0.028916729553183668,3.7201551457083053e-5,Brazil North
-3_-56,1015,Americas,Mainland,26.517263677385117,8.630047930611504,77.24774742126465,62.42926417456733,32.48365953233507,21.311555491553413,11.172104040781656,25.964711878034805,27.23935392167833,27.40501054128011,25.942724386850994,2049.277777777778,320.6111111111111,42,58.18160427941216,900.8333333333334,173.41666666666666,221.72222222222223,849.1388888888889,85.19444444444444,1.099632945838658,3.5028039795114263,4.044320064738657,53.37991308362884,28.680237067887266,NA,0,1,0.008167899977023114,0.0031040386581149284,8.988767766464472e-4,Brazil North
-3_-61,1502,Americas,Mainland,26.635463767581516,8.131607082155016,85.30932235717773,35.863204108344185,31.754416624704998,22.222819487253826,9.531597137451172,26.34735647837321,26.764712863498264,27.1268564330207,26.310308933258057,2430.6111111111113,319.47222222222223,70.91666666666667,46.64242564307319,934.7777777777778,267.05555555555554,403.97222222222223,796.2777777777778,41.44444444444444,1.0947843323174857,2.981651375985914,4.261251101862518,32.01846648254133,36.84112944476781,NA,0,1,0.02480041613582858,0.009495387963469338,2.5712403542989166e-5,Brazil North
-3_-65,11119,Americas,Mainland,26.67294650607639,8.916721608903673,88.12204149034288,25.511679861280655,31.948298348320854,21.828118059370254,10.120180288950602,26.56500228246053,26.69781600104438,27.00043159061008,26.370385381910538,3083.0833333333335,347.19444444444446,167.08333333333331,23.94343418545193,980.75,525.6944444444445,657.1944444444445,716.3055555555555,56.361111111111114,1.0655799954891685,3.4456728854401395,4.091751160211013,20.281483076309755,48.58762546635144,NA,0,1,0.012447567338507427,0.005821750714896613,6.188893722081362e-6,Brazil North
